# fpr,tpr,threshold
0.000;0.000;0.000
0.000;0.000;1.000
0.000;0.000;2.000
0.000;0.000;3.000
0.000;0.000;4.000
0.000;0.000;5.000
0.000;0.000;6.000
0.000;0.000;7.000
0.000;0.000;8.000
0.000;0.000;9.000
0.000;0.000;10.000
0.000;0.000;11.000
0.000;0.000;12.000
0.000;0.000;13.000
0.000;0.000;14.000
0.000;0.000;15.000
0.000;0.000;16.000
0.000;0.000;17.000
0.000;0.000;18.000
0.001;0.000;19.000
0.002;0.000;20.000
0.003;0.000;21.000
0.004;0.001;22.000
0.004;0.002;23.000
0.005;0.002;24.000
0.007;0.004;25.000
0.009;0.007;26.000
0.011;0.010;27.000
0.013;0.014;28.000
0.017;0.019;29.000
0.022;0.026;30.000
0.028;0.036;31.000
0.034;0.048;32.000
0.039;0.059;33.000
0.044;0.070;34.000
0.048;0.084;35.000
0.051;0.099;36.000
0.055;0.115;37.000
0.058;0.131;38.000
0.061;0.147;39.000
0.063;0.164;40.000
0.065;0.181;41.000
0.067;0.198;42.000
0.069;0.213;43.000
0.070;0.227;44.000
0.072;0.243;45.000
0.073;0.258;46.000
0.074;0.274;47.000
0.075;0.288;48.000
0.076;0.303;49.000
0.077;0.315;50.000
0.078;0.327;51.000
0.079;0.342;52.000
0.080;0.352;53.000
0.081;0.365;54.000
0.081;0.377;55.000
0.082;0.391;56.000
0.083;0.404;57.000
0.084;0.415;58.000
0.084;0.425;59.000
0.085;0.433;60.000
0.086;0.445;61.000
0.087;0.453;62.000
0.087;0.462;63.000
0.088;0.469;64.000
0.089;0.479;65.000
0.089;0.488;66.000
0.090;0.495;67.000
0.091;0.502;68.000
0.092;0.510;69.000
0.092;0.517;70.000
0.093;0.523;71.000
0.094;0.529;72.000
0.095;0.535;73.000
0.096;0.541;74.000
0.097;0.548;75.000
0.098;0.554;76.000
0.099;0.560;77.000
0.100;0.565;78.000
0.102;0.571;79.000
0.104;0.577;80.000
0.105;0.582;81.000
0.107;0.589;82.000
0.109;0.595;83.000
0.111;0.601;84.000
0.114;0.606;85.000
0.116;0.611;86.000
0.120;0.615;87.000
0.123;0.621;88.000
0.127;0.626;89.000
0.132;0.631;90.000
0.136;0.635;91.000
0.141;0.640;92.000
0.146;0.643;93.000
0.151;0.649;94.000
0.156;0.653;95.000
0.160;0.658;96.000
0.165;0.662;97.000
0.169;0.666;98.000
0.174;0.670;99.000
0.179;0.674;100.000
0.183;0.677;101.000
0.188;0.679;102.000
0.193;0.683;103.000
0.197;0.686;104.000
0.202;0.689;105.000
0.207;0.692;106.000
0.212;0.695;107.000
0.218;0.698;108.000
0.223;0.700;109.000
0.229;0.703;110.000
0.234;0.706;111.000
0.240;0.709;112.000
0.246;0.711;113.000
0.252;0.713;114.000
0.259;0.715;115.000
0.265;0.717;116.000
0.273;0.719;117.000
0.280;0.721;118.000
0.289;0.724;119.000
0.298;0.726;120.000
0.307;0.728;121.000
0.317;0.730;122.000
0.328;0.733;123.000
0.339;0.735;124.000
0.349;0.737;125.000
0.360;0.739;126.000
0.370;0.741;127.000
0.379;0.744;128.000
0.389;0.746;129.000
0.400;0.748;130.000
0.411;0.750;131.000
0.423;0.753;132.000
0.435;0.755;133.000
0.448;0.757;134.000
0.461;0.759;135.000
0.475;0.761;136.000
0.489;0.763;137.000
0.503;0.765;138.000
0.518;0.767;139.000
0.532;0.770;140.000
0.547;0.771;141.000
0.561;0.772;142.000
0.576;0.774;143.000
0.590;0.776;144.000
0.606;0.777;145.000
0.621;0.779;146.000
0.636;0.782;147.000
0.650;0.784;148.000
0.664;0.785;149.000
0.677;0.787;150.000
0.689;0.788;151.000
0.701;0.790;152.000
0.712;0.791;153.000
0.723;0.793;154.000
0.734;0.795;155.000
0.745;0.797;156.000
0.756;0.799;157.000
0.766;0.801;158.000
0.775;0.804;159.000
0.784;0.805;160.000
0.793;0.807;161.000
0.801;0.809;162.000
0.809;0.812;163.000
0.816;0.813;164.000
0.823;0.814;165.000
0.829;0.816;166.000
0.835;0.818;167.000
0.841;0.820;168.000
0.847;0.821;169.000
0.853;0.823;170.000
0.860;0.825;171.000
0.867;0.826;172.000
0.873;0.827;173.000
0.880;0.828;174.000
0.886;0.830;175.000
0.892;0.832;176.000
0.898;0.834;177.000
0.903;0.836;178.000
0.909;0.838;179.000
0.914;0.839;180.000
0.919;0.841;181.000
0.924;0.844;182.000
0.928;0.845;183.000
0.932;0.847;184.000
0.936;0.849;185.000
0.941;0.850;186.000
0.945;0.852;187.000
0.949;0.854;188.000
0.953;0.855;189.000
0.957;0.857;190.000
0.961;0.859;191.000
0.965;0.861;192.000
0.968;0.863;193.000
0.971;0.864;194.000
0.974;0.866;195.000
0.977;0.868;196.000
0.979;0.869;197.000
0.981;0.871;198.000
0.983;0.873;199.000
0.984;0.875;200.000
0.986;0.877;201.000
0.987;0.879;202.000
0.989;0.881;203.000
0.990;0.883;204.000
0.991;0.885;205.000
0.993;0.887;206.000
0.994;0.890;207.000
0.995;0.892;208.000
0.996;0.895;209.000
0.996;0.897;210.000
0.997;0.900;211.000
0.997;0.902;212.000
0.997;0.905;213.000
0.998;0.907;214.000
0.998;0.909;215.000
0.998;0.912;216.000
0.998;0.914;217.000
0.998;0.917;218.000
0.998;0.919;219.000
0.999;0.921;220.000
0.999;0.924;221.000
0.999;0.928;222.000
0.999;0.931;223.000
0.999;0.933;224.000
0.999;0.936;225.000
0.999;0.938;226.000
0.999;0.941;227.000
0.999;0.943;228.000
0.999;0.946;229.000
1.000;0.950;230.000
1.000;0.952;231.000
1.000;0.956;232.000
1.000;0.958;233.000
1.000;0.960;234.000
1.000;0.963;235.000
1.000;0.966;236.000
1.000;0.969;237.000
1.000;0.973;238.000
1.000;0.977;239.000
1.000;0.980;240.000
1.000;0.983;241.000
1.000;0.986;242.000
1.000;0.990;243.000
1.000;0.992;244.000
1.000;0.993;245.000
1.000;0.995;246.000
1.000;0.996;247.000
1.000;0.998;248.000
1.000;0.999;249.000
1.000;1.000;250.000
1.000;1.000;251.000
1.000;1.000;252.000
1.000;1.000;253.000
1.000;1.000;254.000
1.000;1.000;255.000
